input,output
How are you?,Response to: How are you?
Why don't eggs tell each other secrets?,Response to: Why don't eggs tell each other secrets?
Why was the math book sad?,Response to: Why was the math book sad?
How are you?,Response to: How are you?
What is the boiling point of water?,Response to: What is the boiling point of water?
Hello,Response to: Hello
What planet is known as the Red Planet?,Response to: What planet is known as the Red Planet?
What's up?,Response to: What's up?
What is the capital of France?,Response to: What is the capital of France?
What is the chemical symbol for water?,Response to: What is the chemical symbol for water?
What do you call fake spaghetti?,Response to: What do you call fake spaghetti?
What is 8 plus 7?,Response to: What is 8 plus 7?
What do you call cheese that isn't yours?,Response to: What do you call cheese that isn't yours?
What is the capital of France?,Response to: What is the capital of France?
Good morning!,Response to: Good morning!
Why was the math book sad?,Response to: Why was the math book sad?
Hello,Response to: Hello
What planet is known as the Red Planet?,Response to: What planet is known as the Red Planet?
Hi,Response to: Hi
Good morning!,Response to: Good morning!
How are you?,Response to: How are you?
Good morning!,Response to: Good morning!
What is the square root of 64?,Response to: What is the square root of 64?
What is 2 + 2?,Response to: What is 2 + 2?
What is 5 times 6?,Response to: What is 5 times 6?
Hey,Response to: Hey
What do you call cheese that isn't yours?,Response to: What do you call cheese that isn't yours?
Hello,Response to: Hello
What is 8 plus 7?,Response to: What is 8 plus 7?
What is the tallest mountain?,Response to: What is the tallest mountain?
Why don't eggs tell each other secrets?,Response to: Why don't eggs tell each other secrets?
Good morning!,Response to: Good morning!
What is the tallest mountain?,Response to: What is the tallest mountain?
Who is the president of the USA?,Response to: Who is the president of the USA?
Good morning!,Response to: Good morning!
What planet is known as the Red Planet?,Response to: What planet is known as the Red Planet?
How are you?,Response to: How are you?
What is the tallest mountain?,Response to: What is the tallest mountain?
Hello,Response to: Hello
Good morning!,Response to: Good morning!
What do you call cheese that isn't yours?,Response to: What do you call cheese that isn't yours?
What do you call cheese that isn't yours?,Response to: What do you call cheese that isn't yours?
How are you?,Response to: How are you?
What is the process of photosynthesis?,Response to: What is the process of photosynthesis?
What is 10 divided by 2?,Response to: What is 10 divided by 2?
What is 5 times 6?,Response to: What is 5 times 6?
Why don't eggs tell each other secrets?,Response to: Why don't eggs tell each other secrets?
